,name,lat,lon,id,operator,public_transport,railway,source,alt_name,network,station,subway,wheelchair,wikidata,wikipedia,addr:city,addr:housenumber,addr:street,light_rail,train,addr:country,addr:province,phone,website,railway:ref,addr:postcode,iata,internet_access,internet_access:fee,name:en,ref:amtrak,ref:via_rail,network:wikidata,name:es,name:fr,short_name,start_date,network:en,network:fr,operator:short,operator:wikidata,toilets:wheelchair,note,name:ko,elevator,platforms,defibrillator:location,check_date:wheelchair,air_conditioning,level,construction,opening_date
67,De La Savane,45.5003752,-73.6617585,7052605731,Société de transport de Montréal,station,station,,,,subway,yes,no,Q652128,en:De La Savane station,,,,,,,,,,,,,,,,,,,,,,1984-01-09,,,,,,,,,,,,,,,
68,Namur,45.4949329,-73.6529072,7052605732,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1892936,en:Namur station (Montreal Metro),,,,,,,,,,,,,,,,,,,,,,1984-01-09,,,,,,,,,,,,,,,
69,Plamondon,45.4943703,-73.6379309,7052605733,Société de transport de Montréal,station,station,,,,subway,yes,no,Q980309,en:Plamondon station,,,,,yes,,,,,,,,,,,,,,,,,1982-06-29,,,,,no,,,,,,,,,,
70,Côte-Sainte-Catherine,45.4923747,-73.6328602,7052605734,Société de transport de Montréal,station,station,,,STM,subway,yes,,Q1150920,en:Côte-Sainte-Catherine station,,,,,,,,,,,,,,,,,,,,,,1982-01-04,,,,,,,,,,,,,,,
71,Vendôme,45.4738941,-73.6038307,7052605735,Société de transport de Montréal,station,station,,,,subway,yes,yes,Q1593502,en:Vendôme station,,,,,,,,,,,,,,,,,,,,,,1981-09-07,,,,,,,,,,,,,,,
72,Place Saint-Henri,45.4771794,-73.586572,7052605736,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1632321,en:Place-Saint-Henri station,,,,,,,,,,,,,,,,,,,,,,1980-04-28,,,,,,,,,,,,,,,
73,Georges-Vanier,45.4889521,-73.5764721,7052605737,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1508769,en:Georges-Vanier station,,,,,,,,,,,,,,,,,,,,,,1980-04-28,,,,,,,,,,,,,,,
74,Bonaventure,45.4981853,-73.5669583,7052605738,Société de transport de Montréal,station,station,,,,subway,yes,no,Q525279,en:Bonaventure station,Montreal,1166,Rue de La Gauchetière Ouest,,,CA,QC,+1 514 786 4636,http://www.stm.info/,,,,,,,,,,,,,1967-02-13,,,,,,Elevator but not wheelchair accessible,,,,,,,,,
75,Square-Victoria-OACI,45.50209,-73.5631107,7052605739,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1463336,en:Square-Victoria-OACI station,,,,,,,,,,,,,,,,,,,,,,1967-02-06,,,,,,,,,,,,,,,
76,Place d’Armes,45.5060856,-73.559605,7052605740,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1495111,en:Place-d'Armes station,,,,,,,,,,,,,,,,,,,,,,1966-10-14,,,,,,,다름광장,,,,,,,,
